,Sno,Clothing.ID,Age,Title,Review.Text,Rating,Recommended.IND,Positive.Feedback.Count,Division.Name,Department.Name,Class.Name
0,7219,1092,34,Beware if you're fuller in the chest,"I loved the lace detailing all over this dress and the fact it had pockets and was mostly cotton. it just looked so inviting, so i grabbed two sizes to try on (10 & 12) that 99% of the time fit me with retailer clothes. here are my thoughts:
__________
pros:
- lace detailing is lovely all over.
- everything runs tts except at the bust (see below).
- breathable fabric, comfortable.
_________
cons:
- i'm a 36c and could not button the top two buttons of this dress in a size 10 (i'm 5'9, hourglass, a",3,1,122,General,Dresses,Dresses
1,1295,1095,29,,"I've been on the hunt for the perfect dress to wear for my daughter's first birthday party. since we are throwing a traditional korean first birthday, i was looking for a dress you might wear to a daytime wedding or a fancy brunch. i just purchased this dress today in the store and it fits my needs perfectly. 

i disagree with the first reviewer who mentioned that this dress was too sheer. this dress is a thicker fabric so i do not think i will need a slip when wearing it. it does drape nicely",5,1,117,General,Dresses,Dresses
2,7766,986,43,Quality does not merit cost,I generally don't write bad reviews but there is a real discrepancy between the quality of this kimono and the cost. the design and colors are great but the fabric is ripping on all the kimonos on the rack in my store where the manufacturer's tag is at the back of the neck. the material is very thin so there are other small holes beginning throughout the garment. i shop at retailer all the time and this is not a $98 item of clothing.,1,0,108,General,Jackets,Jackets
3,19095,1121,35,A navy trench-yes!,"I am a big fan of trench coats and i love that this one is navy. i typically gravitate toward blues because it brings out my eyes and my wardrobe tends to fall in a blue-ish category. i love that the color of this coat will compliment other pieces of clothing in my closet wonderfully.

i especially love the design of the trench with the wider, pleated bottom which allows for fluffier dresses but also creates an illusion that is slimming for anyone's figure. this is a fantastic, unique design for",5,1,99,General,Jackets,Outerwear
4,13211,1078,23,Super flattering,"Beautiful Dressthis Is My Favorite Dress I'Ve Bought In The Past Year! It Is Super Flattering And Can Be Worn For Work Or Casual Wear. The Fabric Is Soft And Comfortable. Can'T Wait Till The Weather Gets Warmer So I Can Start Wearing It Regularly!

I'M 5'5 145Lbs, 37-29-39. I Got The Medium Petite And It Fits Perfectly!",5,1,98,General,Dresses,Dresses
5,16330,867,56,At least it's not a swing top! tts?,"I loved the idea of the placement print around the neckline and shoulders and even the nape. the print transforms an otherwise basic t-shirt into an eye catching top. it lacked in the length department, and there was extra fabric under the sleeves that wasn't flattering just above the girls.

this is made by retailer brand postmark. i own several tops by this brand, and found that their printed fabric tends to fade out from wash #1. as is usual for postmark, the brand was not stated on the produ",4,1,95,General,Tops,Knits
6,2124,1072,39,Another tiny success,"Tiny are experts at making busy bohemian shirtdresses that look casual but retain a feminine drape.  it skims over my trouble spots without adding bulk.  this is my fourth dress from this label and it does not disappoint.  for my frame and style i chose tts but those of slender & petite builds may want to size down.  for reference i am 5'3"" 140# 36dd.",5,1,94,General Petite,Dresses,Dresses
7,17234,864,23,Stunning but has fit issues,"This top is beautiful, the lace is sturdy and intricate and the top drapes perfectly, slimming. but, a word to the wise, the lace does not stretch at all even though the rest of the material does and that coupled with where it is on the bust and back means very limited movement unless you are a size 0 with an narrow back/chest and shoulders. i can't imagine anyone with a cup size larger than a b wearing this. i am 5'5"", 145 lbs and a 34b and always a small or medium and a size 6 for reference. i",4,1,93,General,Tops,Knits
8,9428,1094,37,Knock out!,I am a huge fan of absolutely everything tanvi kedia designs. her clothing is intricate boho colorful and fits like a dream. when i saw this online i had to have it. it just arrived today and its everything i imagined it to be! the fit is more like the studio pics and less like the first catalog pic. the dress definitely has some room but it isn't quite as swingy as the catalog photo. i have a lot of curves so it may be swingy on a more slender figure. i ordered an xl mostly because of the s,5,1,89,General Petite,Dresses,Dresses
9,8684,1078,52,Fun spring colors but tricky on certain body types,In the store i was immediately drawn to the blue/white combination but on the opposite side of the rack hung the spring colored one which i ultimately tried on. it was obvious that the dress was a bit oversized so i chose the smaller of my two dress sizes (10) to try on. this was the right choice but it was still really big. i am not sure that i could have gone down another size (mostly i wear a 12 in dresses that are fitted) due to my bust (36c) and broad back/shoulders. from the front th,4,1,87,General Petite,Dresses,Dresses
10,689,1087,52,Worth it,I never buy anything at retailer full price but had to get this when i tried it at my local store especially since it's back ordered for so long. it's very flattering and super comfortable. fully lined not see- through at all. elastic waist that's hidden under the sweater top. will be so easy to throw on and dress up for an evening out or lounge in after a day at the pool or beach. looking at the model pics i was concerned the arm pit holes came too low but on me that is not the case. the t,5,1,84,General,Dresses,Dresses
11,3788,1091,63,Large and thin,"I bought this for an upcoming conference and was grateful that it shipped very promptly.

it runs quite large, in my opinion. i'm 5'7"" and about 130-135lbs. the small was huge on me in the chest and shoulders/arms. the stomach also wasn't very fitted. the material is thinner than i expected (you can see through the dress to some extent when you hold it up to the light), but i don't think this is a problem, necessarily. had it been thicker, it probably would be too warm. but you might need a slip",3,0,82,General,Dresses,Dresses
12,4411,1081,63,Cute and flattering!,Ordered this in the orange (black white and turquoise) print in both a small and medium. the style is cute and i like the high neckline that shows off the shoulders and swing skirt that falls beautifully and hides a multitude of figure problems. :) i also previously bought the emerson swing dress which is the same style by maeve. the emerson style ran a bit larger and as the reviews there state the armholes were a bit long - so i ended up with a small in that one. this lilt swing dress howev,5,1,81,General Petite,Dresses,Dresses
13,11647,835,50,Gorgeous but very small across back!,"I've been coveting the first edition of this top (pineapples) and was thrilled to find this same style with lemons. i called my local store and put a few sizes on hold so i could ensure the perfect fit. good job i did! the top is beautiful but it's super tight across the back - fine if you want to stand still & look pretty. if, however, you want to go about your usual activities, like eat for example, i'd suggest you size up. for reference i'm usually a 2-4 in retailer tops (34b, 5' 5"" and 130lbs)",4,1,81,General,Tops,Blouses
14,19088,1121,37,Love love love....but,I too saw this jacket on the recent retailer email teaser and instantly i was in love. i put it in my cart and was contemplating buying it but was unsure on size etc since there was only one review. i came back to find it was no longer available and i was devastated. i was at my local mall today and decided to pop in. much to my delight they had a rack full of this coveted jacket. it's very cute stylish not very thick and the quality was ...just ok. there was a slightly worn look that perhap,4,1,81,General,Jackets,Outerwear
